Scouter Name,Event,Match Level,Match #,Robot,Team #,Auto Start Location,Auto Amp Scores,Auto Scoring Locations,Auto Pickup Locations,Cycle Timer,Teleop Scoring Locations,Teleop Missing Locations,Teleop Amp Scores,Pickup From Floor,Pickup From Source,Played Defense,Died,Tippy,Dropped Notes,Yellow Card,Egregiously Bad Event,Comment,,,,,,,,,,,,,,,,,,,,,,
bo,2024nyro,qm,1,b3,3181,25,0,49,,"61.5,0.8,24.3,24.9","99,98,a,a","99,99",2,1,0,0,0,0,0,0,0,data is completely messed up,,,,,,,,,,,,,,,,,,,,,,
mg,2024nyro,qm,1,r3,639,12,0,71,,"27.4,48.9,33","119,94,71",,0,1,0,0,0,0,0,0,0,just did a cycle without a note?,,,,,,,,,,,,,,,,,,,,,,
GG,2024nyro,qm,1,b2,5740,13,0,,,"187.5,0.5,0.4,0.3,2.3","54,101,101,101,75",196,0,1,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,
lg,2024nyro,qm,1,r1,5528,24,0,,,"5,12.7,26.9,55.6","94,118,118,142","-18,119",0,0,1,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,
nv,2024nyro,qm,1,r2,2228,24,0,166,9,"19.4,17.2","a,94",118,1,1,1,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,
hw,2024nyro,qm,1,b1,578,13,0,99,,"10.7,16,65.6,0.5,23.4","51,a,99,98,98",,1,1,0,0,0,0,0,0,0,I couldn't see it that well,,,,,,,,,,,,,,,,,,,,,,
bo,2024nyro,qm,2,b3,7903,,0,,,,,,0,0,0,0,0,0,0,0,0,no show,,,,,,,,,,,,,,,,,,,,,,
lg,2024nyro,qm,2,r1,1518,36,0,142,,,"71,95",95,0,0,0,0,1,0,0,0,1,didn't move whole match,,,,,,,,,,,,,,,,,,,,,,
ZS,2024nyro,qm,2,r2,3003,24,0,,,"1.7,21.9,34.6","a,118,94","118,93,140,115",1,1,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,
hw,2024nyro,qm,2,b1,6353,13,0,,,24.1,74,,0,1,0,0,0,0,0,0,1,they were bad at in taking and no auto,,,,,,,,,,,,,,,,,,,,,,
mg,2024nyro,qm,2,r3,6300,48,0,"118,166",11,"9.9,28,48.9,26.9","a,118,94,94",94,1,0,1,0,0,0,0,0,0,just sht a note fr pome t hanger,,,,,,,,,,,,,,,,,,,,,,
GG,2024nyro,qm,2,b2,191,13,0,122,7,"50.3,18.7,23.8","98,74,74",,0,1,0,0,0,0,0,0,0,tried but failed to score amp,,,,,,,,,,,,,,,,,,,,,,
lg,2024nyro,qm,3,r1,7709,24,0,,,"14.1,14.5,5.7,11.3,38.2","94,118,119,94,94",,0,1,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,
bo,2024nyro,qm,3,b3,27,13,0,49,4,"23.5,62.6,13.3,9.6","a,75,a,a",,3,1,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,
ZS,2024nyro,qm,3,r2,3015,12,0,,,"0.1,17.7,21.9,18.4,12.9,22.1","118,a,a,a,a,92",,4,1,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,
hw,2024nyro,qm,3,b1,1468,13,0,"74,76",4,"2.4,31.7,9.9,4.3,16.7,14.8,10.2,10.2,16.1","74,49,50,73,73,50,49,50,98","74,74,49",0,1,0,0,0,0,0,0,0,good bot,,,,,,,,,,,,,,,,,,,,,,
GG,2024nyro,qm,3,b2,2340,25,0,146,,53.1,98,74,0,0,1,0,0,1,0,0,0,,,,,,,,,,,,,,,,,,,,,,,
mg,2024nyro,qm,3,r3,340,48,0,"118,234","8,11","56.2,42.4","94,94","119,250,226,225,227,250,250,253",0,1,0,0,0,0,0,0,0,kept shooting at amp from  mid,,,,,,,,,,,,,,,,,,,,,,
lg,2024nyro,qm,4,r1,1308,36,0,,,50.9,70,"142,93",0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,
mg,2024nyro,qm,4,r3,694,36,0,"123,147","4,7,11","5.3,74.9,0.8,1.6,11.8,14.2,6.2","a,94,142,93,a,118,118","94,94,94,94,70",2,0,0,0,0,0,0,0,0,"missed trap, but attempted",,,,,,,,,,,,,,,,,,,,,,
ZS,2024nyro,qm,4,r2,4991,12,0,,3,"34.7,10.4,33,47.2","a,a,a,a",,4,1,0,0,0,0,1,0,0,missed a lot,,,,,,,,,,,,,,,,,,,,,,
hw,2024nyro,qm,4,b1,271,49,0,,,,,,0,0,0,1,0,0,0,0,1,did not shoot once auto didn't work,,,,,,,,,,,,,,,,,,,,,,
bo,2024nyro,qm,4,b3,1126,13,0,"74,74",4,"8.1,41.5,56.7,21","a,99,74,98","99,75",1,1,0,0,0,0,0,0,0,still can't see robots,,,,,,,,,,,,,,,,,,,,,,
GG,2024nyro,qm,4,b2,1507,25,0,"122,122,147","5,6,7,11","11.3,37.9,15,15.8,21.5,15.6","75,74,74,74,74,74","98,74",0,1,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,
ZS,2024nyro,qm,5,r2,8595,36,0,70,6,,,118,0,1,0,1,0,0,0,0,0,seems to have got a note stuck in shooter,,,,,,,,,,,,,,,,,,,,,,
hw,2024nyro,qm,5,b1,870,25,0,96,7,"1.7,35.8,15.3,14,15.7,18.4","74,51,76,51,75,75",51,0,1,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,
mg,2024nyro,qm,5,r3,4093,60,0,,,48.2,95,,0,0,1,0,0,1,1,0,0,"dropped 5 notes, stood at speaker first 30 sec of match",,,,,,,,,,,,,,,,,,,,,,
lg,2024nyro,qm,5,r1,3117,36,0,"118,94",3,"19.2,53.7,4.9","a,-3,a",,2,1,0,0,0,0,0,0,0,trap/climb fail,,,,,,,,,,,,,,,,,,,,,,
GG,2024nyro,qm,5,b2,7036,49,0,,,"10.6,39.6","74,99",77,0,1,0,0,0,0,0,0,1,temporary immobilization for about a minute,,,,,,,,,,,,,,,,,,,,,,
bo,2024nyro,qm,5,b3,424,13,0,49,2,"2.7,18.3,17.9,45.9","a,a,49,a",,3,1,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,
eg,2024nyro,qm,6,r3,229,48,0,,,,,,0,0,0,1,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,
lg,2024nyro,qm,6,r1,533,36,0,118,,"1.9,55.3,38.3","a,118,94",118,1,1,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,
j,2024nyro,qm,6,b3,3193,25,0,,,"61.4,28.6","a,a",,2,0,1,1,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,
les,2024nyro,qm,6,r2,6868,36,0,,,"10.9,5.2,18.4,11.8,7.2,42.3,18.9","119,119,119,119,119,120,119","119,119",0,1,0,0,0,0,0,0,0,climbed,,,,,,,,,,,,,,,,,,,,,,
ls,2024nyro,qm,6,b2,1559,37,0,,,11.8,172,171,0,1,0,1,0,0,0,0,0,"okay at defense, picked up a note but stopped trying to score so maybe broken",,,,,,,,,,,,,,,,,,,,,,
lw,2024nyro,qm,6,b1,1591,25,5,102,4,"0.1,8.3,32.9,12.5,10.2,4,11.6,10.2","102,77,52,102,102,78,78,78",103,0,1,1,0,0,0,0,0,0,",",,,,,,,,,,,,,,,,,,,,,,
JL,2024nyro,qm,7,b3,120,13,0,98,4,23.9,98,,0,1,0,0,0,0,1,0,0,,,,,,,,,,,,,,,,,,,,,,,
ls,2024nyro,qm,7,b2,1511,25,0,122,7,"15.6,21.7,39.4,16.4","a,99,a,99",123,2,1,0,0,0,0,0,0,0,kinda good nothing apecial,,,,,,,,,,,,,,,,,,,,,,
lw,2024nyro,qm,7,b1,4930,13,0,,,"17.6,5.8,7.9,25.7,19.1,23.7","27,27,27,27,27,27",,0,1,0,0,0,0,0,0,0,",",,,,,,,,,,,,,,,,,,,,,,
eg,2024nyro,qm,7,r3,1450,12,0,,,,,,0,1,0,0,0,1,0,0,0,,,,,,,,,,,,,,,,,,,,,,,
lg,2024nyro,qm,7,r1,8145,48,0,167,,95.3,118,"94,119,118",0,1,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,
les,2024nyro,qm,7,r2,6621,24,0,119,,"3.1,34.7,11.8,25,25.4,18.8","119,118,143,119,118,119","119,119",0,1,0,0,0,0,0,0,0,climbed,,,,,,,,,,,,,,,,,,,,,,
ls,2024nyro,qm,8,b2,378,1,0,50,,,,,0,0,0,0,0,0,0,0,0,can't score really bad,,,,,,,,,,,,,,,,,,,,,,
lg,2024nyro,qm,8,r1,3951,36,0,,,"0.5,27.6,12.1,22","a,a,118,118",94,2,1,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,
